id,first_name,last_name,doj,age,total_exp,dept_id,dept_name,location,salary,hike,contact,email,project_id,project_name,primary_skill,secondary_skill
1,Sanjay,Bhaskar,08-07-2007,32,15,101,health_care,Hyderabad,25000,5,323154625,talendtechsoloution@gmail.com,20156,Cracto,Talend,SQL
2,Ronald,Ford,22-02-2008,33,16,102,Sales,Chennai,35000,44,65,ronald@gmail.com,65458,Practo,Talend,SQL
3,George,Cleveland,26-04-2007,34,17,103,IT,Bangalore,36000,8,100,george@gmail.com,80566,Alemeno,Talend,SQL
4,Theodore,Cleveland,19-05-2003,42,12,104,BPES,Pune,57000,40,26,theodre@gmail.com,2726363,Alberto,Talend,SQL
5,Ganesh,Rea,10-04-2005,24,13,105,Finance,Noida,76000,24,79,reagan@gmail.com,36466,Alexian,Talend,SQL
6,Ronald,Taft,03-01-2006,31,14,106,Sales,Kolkata,77000,24,83,taft@gmail.com,40126,Alzerto,Talend,SQL
7,Richard,Tyler,19-08-2005,36,13,107,It,Kerala,72000,3,33,richard@gmail.com,17466,Alcido,Talend,SQL
8,Ulysses,Reagan,07-03-2006,34,12,108,BPES,Kochi,28000,12,83,ulysses@gmail.com,3415263,Citi,Talend,SQL
9,Benjamin,Garfield,18-09-2003,32,16,109,Finance,Chennai,29000,32,31,benjamin@gmail.com,7714656,Chattered,Talend,SQL
10,Richard,Harding,11-12-2009,41,20,110,Sales,Bangalore,90000,29,99,harding@gmail.com,515521,Philion,Talend,SQL
11,Grover,Harrison,22-02-2002,36,20,111,It,Hyderabad,52000,64,77,grover@gmail.com,73156,Phastro,Talend,SQL
12,Jimmy,Truman,29-03-2001,38,16,112,BPES,Kerala,64000,24,66,jimmy@gmail.com,13263,Zuseatro,Talend,SQL
13,Herbert,Harrison,16-09-2005,35,11,113,Finance,Kochi,29000,46,22,herbert@gmail.com,51236,Dreacki,Talend,SQL
14,Theodore,Tyler,21-10-2003,25,14,114,helath_care,Kolkata,53000,86,21,tyler@gmail.com,12389,Vyemank,Talend,SQL
15,Zachary,Lincoln,20-12-2002,42,22,115,health_care,Pune,71000,33,28,lincoln@gmail.com,21415,Lojakla,Talend,SQL
16,Bil,Tyler,08-08-2001,47,22,116,health_care,Noida,41000,4,28,bill@gmail.com,2846556,Fusion,Talend,SQL
